年份,地区生产总值_亿元,人均生产总值_常住_元,人均生产总值_户籍_元,第一产业_亿元,第二产业_亿元,第三产业_亿元
1949,2.55,89,92,1.42,0.68,0.45
1950,2.78,95,98,1.51,0.74,0.53
1955,3.92,128,132,2.01,1.12,0.79
1960,5.63,176,182,2.68,1.78,1.17
1965,7.81,234,241,3.42,2.68,1.71
1970,10.24,295,303,4.05,3.98,2.21
1975,14.67,398,408,5.32,6.12,3.23
1978,19.56,512,525,6.48,8.95,4.13
1980,27.89,712,731,7.85,13.21,6.83
1985,62.43,1523,1565,12.56,32.87,17.00
1990,138.56,3215,3302,20.34,72.15,46.07
1995,512.79,11256,11563,45.67,278.34,188.78
2000,1382.56,28965,29765,89.23,698.45,594.88
2001,1568.34,32567,33456,92.45,785.34,690.55
2002,1789.45,36892,37902,95.67,890.23,803.55
2003,2099.78,42987,44178,98.23,1045.67,955.88
2004,2515.67,51123,52534,101.45,1234.56,1179.66
2005,2943.84,59456,61123,105.67,1432.89,1405.28
2006,3441.51,69023,70934,108.23,1656.78,1676.50
2007,4103.89,81789,84056,112.45,1923.45,2067.99
2008,4781.16,94678,97345,116.67,2189.34,2475.15
2009,5098.66,100345,103234,120.23,2289.56,2688.87
2010,5965.71,116789,120123,125.45,2645.78,3194.48
2011,7011.87,136567,140456,130.67,3078.34,3802.86
2012,7803.98,151234,155678,135.89,3389.56,4278.53
2013,8343.52,161234,165890,140.23,3589.78,4613.51
2014,9201.16,177234,182345,145.67,3923.45,5132.04
2015,10053.58,193456,199023,150.23,4234.56,5668.79
2016,11050.49,212345,218567,155.67,4589.34,6305.48
2017,12556.16,240567,247890,160.45,5123.78,7271.93
2018,13509.68,258234,265678,165.23,5456.89,7887.56
2019,15373.05,293456,302345,170.56,6123.45,9079.04
2020,16106.00,306789,315678,175.23,6234.56,9696.21
2021,18109.00,344567,354678,180.45,6890.34,11038.21
2022,18753.00,356234,366789,185.67,7123.45,11443.88
2023,20059.00,380123,391234,190.23,7456.78,12411.99
2024,21860.00,413456,425678,195.67,8012.34,13651.99
