年份,第一产业占比_%,第二产业占比_%,第三产业占比_%
2000,8.50,46.20,45.30
2001,8.10,45.80,46.10
2002,7.80,45.10,47.10
2003,7.20,44.50,48.30
2004,6.80,43.80,49.40
2005,6.30,43.20,50.50
2006,5.80,42.50,51.70
2007,5.30,41.80,52.90
2008,4.90,41.20,53.90
2009,4.60,40.80,54.60
2010,4.20,40.10,55.70
2011,3.80,39.50,56.70
2012,3.50,38.80,57.70
2013,3.20,38.20,58.60
2014,3.00,37.50,59.50
2015,2.80,36.80,60.40
2016,2.60,36.10,61.30
2017,2.40,35.30,62.30
2018,2.20,34.50,63.30
2019,2.10,33.80,64.10
2020,2.00,33.10,64.90
2021,1.90,32.20,65.90
2022,1.80,31.50,66.70
2023,1.70,30.80,67.50
2024,1.70,25.30,73.00
