地区,2022年常住人口_万人,2022年城镇化率_%,2023年常住人口_万人,2023年城镇化率_%,2024年常住人口_万人,2024年城镇化率_%
杭州市合计,1237.60,84.20,1252.20,84.80,1268.10,85.40
上城区,132.30,100.00,133.50,100.00,134.80,100.00
拱墅区,114.50,100.00,115.80,100.00,117.20,100.00
西湖区,111.20,99.80,112.50,99.90,113.90,99.90
滨江区,53.40,100.00,54.20,100.00,55.10,100.00
萧山区,211.20,78.50,214.00,79.20,217.10,79.80
余杭区,136.40,76.80,138.20,77.50,140.30,78.20
临平区,110.80,82.30,112.10,83.00,113.60,83.70
钱塘区,79.30,88.60,80.50,89.20,81.80,89.80
富阳区,85.50,68.40,86.80,69.10,88.20,69.80
临安区,64.80,62.50,65.60,63.20,66.50,63.90
桐庐县,45.60,58.20,46.10,58.90,46.70,59.60
淳安县,32.80,52.30,33.10,53.00,33.50,53.70
建德市,44.20,56.80,44.80,57.50,45.40,58.20
