年份,年末户籍人口_万人,总户数_万户,城镇人口_万人,乡村人口_万人
1949,198.56,52.34,56.78,141.78
1950,202.34,53.12,58.92,143.42
1955,218.67,57.89,67.34,151.33
1960,235.89,62.34,78.56,157.33
1965,256.78,68.12,92.34,164.44
1970,278.34,74.56,108.67,169.67
1975,298.67,80.34,125.34,173.33
1978,315.67,85.67,142.56,173.11
1980,328.89,89.34,156.78,172.11
1985,356.78,97.56,192.34,164.44
1990,396.78,109.34,234.56,162.22
1995,438.56,122.34,289.67,148.89
2000,489.67,138.56,345.67,144.00
2005,536.78,154.56,398.56,138.22
2010,577.89,168.34,456.78,121.11
2011,584.56,170.12,467.89,116.67
2012,591.23,172.34,478.56,112.67
2013,598.56,174.56,489.34,109.22
2014,606.78,177.34,501.23,105.55
2015,615.34,180.12,513.45,101.89
2016,624.56,183.34,526.78,97.78
2017,634.67,186.56,540.23,94.44
2018,645.78,190.12,554.67,91.11
2019,657.34,194.56,569.34,88.00
2020,669.56,199.34,584.56,85.00
2021,682.34,204.56,600.23,82.11
2022,695.67,210.12,616.78,78.89
2023,709.56,216.34,633.45,76.11
2024,723.89,222.56,650.23,73.66
