日期,区县,消费人数_人次,消费金额_万元,酒店入住率_%
2023-07-01,上城区,12560,785.32,78.50
2023-07-01,拱墅区,9870,623.45,72.30
2023-07-01,西湖区,15670,1123.56,85.60
2023-07-01,滨江区,8230,456.78,65.40
2023-07-01,萧山区,14320,892.34,70.20
2023-07-01,余杭区,11230,678.90,68.70
2023-07-02,上城区,13450,823.45,82.30
2023-07-02,拱墅区,10560,678.23,76.50
2023-07-02,西湖区,16890,1234.56,89.20
2023-07-02,滨江区,8760,489.12,68.90
2023-07-02,萧山区,15230,956.78,74.50
2023-07-02,余杭区,12100,723.45,72.10
2023-07-03,上城区,11890,745.67,75.80
2023-07-03,拱墅区,9230,589.34,68.90
2023-07-03,西湖区,14560,1056.78,82.40
2023-07-03,滨江区,7890,423.45,62.30
2023-07-03,萧山区,13560,834.56,67.80
2023-07-03,余杭区,10560,634.56,65.40
2023-07-04,上城区,14230,890.23,85.60
2023-07-04,拱墅区,11230,712.34,79.80
2023-07-04,西湖区,17890,1345.67,91.50
2023-07-04,滨江区,9340,512.34,71.20
2023-07-04,萧山区,16230,1023.45,78.90
2023-07-04,余杭区,12890,789.12,75.60
2023-07-05,上城区,15230,956.78,88.20
2023-07-05,拱墅区,12100,768.45,82.10
2023-07-05,西湖区,18900,1456.78,93.40
2023-07-05,滨江区,9870,556.78,73.50
2023-07-05,萧山区,17230,1089.34,81.20
2023-07-05,余杭区,13560,834.56,78.30
